         349480367 function calls (341997083 primitive calls) in 308.596 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:2965(RequirementParseError)
        3    0.000    0.000    0.000    0.000 __init__.py:297(wrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:2989(Requirement)
        7    0.000    0.000    0.330    0.047 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:30(ParserError)
        2    0.000    0.000    0.000    0.000 __init__.py:302(loads)
      173    0.000    0.000    0.000    0.000 __init__.py:3042(_always_object)
      173    0.001    0.000    0.001    0.000 __init__.py:3052(_find_adapter)
        9    0.000    0.000    0.000    0.000 __init__.py:309(ge)
        1    0.000    0.000    0.000    0.000 __init__.py:311(CDLL)
        2    0.000    0.000    0.429    0.214 __init__.py:3121(_call_aside)
        1    0.000    0.000    0.000    0.000 __init__.py:3126(_initialize)
       14    0.000    0.000    0.000    0.000 __init__.py:3132(<genexpr>)
        1    0.000    0.000    0.429    0.429 __init__.py:3138(_initialize_master_working_set)
      180    0.000    0.000    0.084    0.000 __init__.py:3165(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:327(add_metaclass)
        1    0.000    0.000    0.000    0.000 __init__.py:329(wrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:330(ResolutionError)
        2    0.000    0.000    0.000    0.000 __init__.py:332(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:337(VersionConflict)
        2    0.000    0.000    0.000    0.000 __init__.py:342(_FuncPtr)
        6    0.000    0.000    0.062    0.010 __init__.py:35(load_module)
        1    0.000    0.000    0.000    0.000 __init__.py:350(_CountryNameDict)
       37    0.001    0.000    0.017    0.000 __init__.py:357(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:358(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:36(DtypeWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:365(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:369(ContextualVersionConflict)
        1    0.000    0.000    0.000    0.000 __init__.py:371(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:375(_FixedOffset)
        1    0.000    0.000    0.000    0.000 __init__.py:376(OrderedDefaultdict)
        1    0.000    0.000    0.000    0.000 __init__.py:378(PercentStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:38(ZoneInfoFile)
        1    0.000    0.000    0.000    0.000 __init__.py:380(WinDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:382(DistributionNotFound)
        1    0.000    0.000    0.000    0.000 __init__.py:384(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:389(HRESULT)
        1    0.000    0.000    0.000    0.000 __init__.py:393(StrFormatStyle)
        1    0.000    0.000    0.001    0.001 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:4(VendorImporter)
        1    0.000    0.000    0.000    0.000 __init__.py:401(silent_list)
        1    0.000    0.000    0.000    0.000 __init__.py:402(OleDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:402(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:406(is_platform_windows)
        1    0.000    0.000    0.000    0.000 __init__.py:409(UnknownExtra)
        1    0.000    0.000    0.020    0.020 __init__.py:41(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:411(LibraryLoader)
        4    0.000    0.000    0.000    0.000 __init__.py:412(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:415(__getattr__)
      182    0.000    0.000    0.000    0.000 __init__.py:420(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:421(checkdep_ps_distiller)
      182    0.000    0.000    0.000    0.000 __init__.py:422(<genexpr>)
        3    0.000    0.000    0.000    0.000 __init__.py:423(register_loader_type)
        1    0.000    0.000    0.000    0.000 __init__.py:426(Formatter)
